Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Stage1_1,0,0,0,0,0,0,1,1,1
Floor,0,-5.5,0,0,0,0,500,500,500
Floor,10,-5.5,0,0,0,0,500,500,500
Floor,20,-5.5,0,0,0,0,500,500,500
Floor,40,-5.5,0,0,0,0,500,500,500
Floor,30,-15.5,0,0,0,0,500,500,500
Floor,20,-15.5,-10,0,0,0,500,500,500
Floor,30,-15.5,-10,0,0,0,500,500,500
Floor,50,-5.5,0,0,0,0,500,500,500
FallenTree,30,-0.75,0,0,90,0,5,0.5,10
Board,57.28,0.35,-0.24,7.300009,230,180,2.5,0.5,10
Floor,65,-4.5,0,0,0,0,500,500,500
Scaffold,72.5,0.24,-2.5,0,90,0,5,0.5,5
Floor,80,-4.5,0,0,0,0,500,500,500
Scaffold,87.5,0.24,2.5,0,90,0,5,0.5,5
Floor,95,-4.5,0,0,0,0,500,500,500
Floor,105,-4.5,0,0,0,0,500,500,500
Floor,115,-14.5,0,0,0,0,500,500,500
Floor,125,-14.5,0,0,0,0,500,500,500
Floor,135,-4.5,0,0,0,0,500,500,500
Floor,150,-4.5,0,0,0,0,1000,500,500
FallenTree,155.25,1.14,0.59,10,320,-2.167361E-07,500,500,500
FirTree,140,5.86,4.79,0,0,0,150,150,150
Stone,152,0.37,22,0,0,0,400,400,400
Stone,149.3,0.5,19.4,0,0,0,150,150,150
Floor,150,-4.5,10,0,0,0,1000,500,500
Floor,150,-4.5,20,0,0,0,1000,500,500
Floor,150,-4.5,30,0,0,0,1000,500,500
Floor,150,-4.5,40,0,0,0,1000,500,500
Floor,150,5.5,50,0,0,0,1000,500,500
Floor,150,5.5,60,0,0,0,1000,500,500
Floor,150,-4.5,70,0,0,0,1000,500,500
Floor,150,-4.5,80,0,0,0,1000,500,500
Floor,150,-4.5,90,0,0,0,1000,500,500
Floor,150,-4.5,120,0,0,0,1000,500,500
Floor,150,-4.5,130,0,0,0,1000,500,500
Floor,150,-4.5,140,0,0,0,1000,500,500
Floor,150,-4.5,150,0,0,0,1000,500,500
Floor,150,-4.5,160,0,0,0,1000,500,500
Floor,150,-4.5,170,0,0,0,1000,500,500
Floor,160,-4.5,165,0,0,0,500,500,1000
Floor,170,-4.5,165,0,0,0,500,500,1000
Floor,165,-14.5,180,0,0,0,1000,500,500
Floor,165,-14.5,190,0,0,0,1000,500,500
Floor,165,-14.5,200,0,0,0,1000,500,500
Floor,180,-14.5,195,0,0,0,500,500,1000
Floor,190,-14.5,195,0,0,0,500,500,1000
Floor,200,-14.5,195,0,0,0,500,500,1000
Floor,210,-4.5,190,0,0,0,500,500,500
Floor,210,-4.5,200,0,0,0,500,500,500
Floor,220,-4.5,190,0,0,0,500,500,500
Floor,220,-4.5,200,0,0,0,500,500,500
Floor,230,-4.5,190,0,0,0,500,500,500
Floor,230,-4.5,200,0,0,0,500,500,500
Floor,240,-4.5,190,0,0,0,500,500,500
Floor,240,-4.5,200,0,0,0,500,500,500
Floor,250,-4.5,190,0,0,0,500,500,500
Floor,250,-4.5,200,0,0,0,500,500,500
Floor,240,5.5,210,0,0,0,500,500,500
Floor,250,5.5,210,0,0,0,500,500,500
Floor,240,5.5,220,0,0,0,500,500,500
Floor,250,5.5,220,0,0,0,500,500,500
Floor,260,5.5,220,0,0,0,500,500,500
Floor,260,5.5,210,0,0,0,500,500,500
Floor,310,5.5,220,0,0,0,500,500,500
Floor,310,5.5,210,0,0,0,500,500,500
Floor,320,5.5,220,0,0,0,500,500,500
Floor,320,5.5,210,0,0,0,500,500,500
Floor,330,5.5,220,0,0,0,500,500,500
Floor,330,5.5,210,0,0,0,500,500,500
FirTree,305.2158,25.85983,228.6574,0,0,0,150,150,150
M_Mushroom,307.46,21.6,225.42,0,0,0,300,300,300
Floor,340,5.5,220,0,0,0,500,500,500
Floor,340,5.5,210,0,0,0,500,500,500
Floor,340,5.5,230,0,0,0,500,500,500
Floor,330,5.5,230,0,0,0,500,500,500
Floor,340,15.5,240,0,0,0,500,500,500
Floor,330,15.5,240,0,0,0,500,500,500
Floor,340,15.5,250,0,0,0,500,500,500
Floor,330,15.5,250,0,0,0,500,500,500
Floor,320,15.5,230,0,0,0,500,500,500
Floor,320,15.5,240,0,0,0,500,500,500
Floor,320,15.5,250,0,0,0,500,500,500
